"method","rho_est","fpr","K","rep"
"DPM",0.00164402340636469,0.001,11,16
"ORBIT_P",0.00164402340636469,0.0472,11,16
"Fisher",0.00225973843188943,0.0492,12,16
"Brown",0.00225973843188943,0.0485,12,16
"Stouffer",0.00225973843188943,0.0521,12,16
"DPM",0.00225973843188943,0.0011,12,16
"ORBIT_P",0.00225973843188943,0.0472,12,16
"Fisher",0.000954239752967232,0.0483,13,16
"Brown",0.000954239752967232,0.0471,13,16
"Stouffer",0.000954239752967232,0.0494,13,16
"DPM",0.000954239752967232,3e-04,13,16
"ORBIT_P",0.000954239752967232,0.0481,13,16
"Fisher",0.000683119597370414,0.051,14,16
"Brown",0.000683119597370414,0.0497,14,16
"Stouffer",0.000683119597370414,0.051,14,16
"DPM",0.000683119597370414,2e-04,14,16
"ORBIT_P",0.000683119597370414,0.0511,14,16
"Fisher",0.000558709487320857,0.0499,15,16
"Brown",0.000558709487320857,0.0476,15,16
"Stouffer",0.000558709487320857,0.0476,15,16
"DPM",0.000558709487320857,2e-04,15,16
"ORBIT_P",0.000558709487320857,0.0516,15,16
"Fisher",0.0007934480371173,0.0504,16,16
"Brown",0.0007934480371173,0.0485,16,16
"Stouffer",0.0007934480371173,0.0504,16,16
"DPM",0.0007934480371173,0,16,16
"ORBIT_P",0.0007934480371173,0.0503,16,16
"Fisher",0.00105920087486804,0.0505,17,16
"Brown",0.00105920087486804,0.0484,17,16
"Stouffer",0.00105920087486804,0.0504,17,16
"DPM",0.00105920087486804,0,17,16
"ORBIT_P",0.00105920087486804,0.0499,17,16
"Fisher",5.30537137458274e-05,0.0509,18,16
"Brown",5.30537137458274e-05,0.0495,18,16
"Stouffer",5.30537137458274e-05,0.0492,18,16
"DPM",5.30537137458274e-05,0,18,16
"ORBIT_P",5.30537137458274e-05,0.0498,18,16
"Fisher",0.00038149172948015,0.0509,19,16
"Brown",0.00038149172948015,0.0481,19,16
"Stouffer",0.00038149172948015,0.0501,19,16
"DPM",0.00038149172948015,0,19,16
"ORBIT_P",0.00038149172948015,0.049,19,16
"Fisher",0.000327224339727313,0.0525,20,16
"Brown",0.000327224339727313,0.0511,20,16
"Stouffer",0.000327224339727313,0.0491,20,16
"DPM",0.000327224339727313,0,20,16
"ORBIT_P",0.000327224339727313,0.0475,20,16
"Fisher",0.00876138513766907,0.0513,2,17
"Brown",0.00876138513766907,0.0512,2,17
"Stouffer",0.00876138513766907,0.0517,2,17
"DPM",0.00876138513766907,0.0306,2,17
"ORBIT_P",0.00876138513766907,0.0499,2,17
"Fisher",0.00675416302550484,0.0502,3,17
"Brown",0.00675416302550484,0.0489,3,17
"Stouffer",0.00675416302550484,0.0507,3,17
"DPM",0.00675416302550484,0.0185,3,17
"ORBIT_P",0.00675416302550484,0.0486,3,17
"Fisher",0.00465803831624883,0.0491,4,17
"Brown",0.00465803831624883,0.049,4,17
"Stouffer",0.00465803831624883,0.0492,4,17
"DPM",0.00465803831624883,0.0114,4,17
"ORBIT_P",0.00465803831624883,0.0513,4,17
"Fisher",0.0059630320728194,0.0536,5,17
"Brown",0.0059630320728194,0.0512,5,17
"Stouffer",0.0059630320728194,0.0537,5,17
"DPM",0.0059630320728194,0.0086,5,17
"ORBIT_P",0.0059630320728194,0.0523,5,17
"Fisher",0.00497149720622259,0.0567,6,17
"Brown",0.00497149720622259,0.054,6,17
"Stouffer",0.00497149720622259,0.0559,6,17
"DPM",0.00497149720622259,0.0065,6,17
"ORBIT_P",0.00497149720622259,0.053,6,17
"Fisher",0.00233440044469512,0.056,7,17
"Brown",0.00233440044469512,0.0527,7,17
"Stouffer",0.00233440044469512,0.0533,7,17
"DPM",0.00233440044469512,0.0041,7,17
"ORBIT_P",0.00233440044469512,0.0521,7,17
"Fisher",0.000704528208837923,0.0562,8,17
"Brown",0.000704528208837923,0.0526,8,17
"Stouffer",0.000704528208837923,0.0505,8,17
"DPM",0.000704528208837923,0.0028,8,17
"ORBIT_P",0.000704528208837923,0.0531,8,17
"Fisher",0.00159646750496413,0.0549,9,17
"Brown",0.00159646750496413,0.0531,9,17
"Stouffer",0.00159646750496413,0.0549,9,17
"DPM",0.00159646750496413,0.0013,9,17
"ORBIT_P",0.00159646750496413,0.0532,9,17
"Fisher",0.00154291064810034,0.0525,10,17
"Brown",0.00154291064810034,0.0511,10,17
"Stouffer",0.00154291064810034,0.0538,10,17
"DPM",0.00154291064810034,5e-04,10,17
"ORBIT_P",0.00154291064810034,0.0541,10,17
"Fisher",0.0012989542008241,0.0521,11,17
"Brown",0.0012989542008241,0.0506,11,17
"Stouffer",0.0012989542008241,0.0544,11,17
"DPM",0.0012989542008241,5e-04,11,17
"ORBIT_P",0.0012989542008241,0.0532,11,17
"Fisher",0.0012827748307599,0.0519,12,17
"Brown",0.0012827748307599,0.0509,12,17
"Stouffer",0.0012827748307599,0.0536,12,17
"DPM",0.0012827748307599,4e-04,12,17
"ORBIT_P",0.0012827748307599,0.0536,12,17
"Fisher",0.00143669185683428,0.0527,13,17
"Brown",0.00143669185683428,0.0522,13,17
"Stouffer",0.00143669185683428,0.056,13,17
"DPM",0.00143669185683428,3e-04,13,17
"ORBIT_P",0.00143669185683428,0.0536,13,17
"Fisher",0.00125557397113525,0.0533,14,17
"Brown",0.00125557397113525,0.053,14,17
"Stouffer",0.00125557397113525,0.0549,14,17
"DPM",0.00125557397113525,2e-04,14,17
"ORBIT_P",0.00125557397113525,0.0514,14,17
"Fisher",0.00143111938400659,0.0541,15,17
"Brown",0.00143111938400659,0.0537,15,17
"Stouffer",0.00143111938400659,0.056,15,17
"DPM",0.00143111938400659,0,15,17
"ORBIT_P",0.00143111938400659,0.0523,15,17
"Fisher",0.00141189281963038,0.0516,16,17
"Brown",0.00141189281963038,0.0504,16,17
"Stouffer",0.00141189281963038,0.0557,16,17
"DPM",0.00141189281963038,1e-04,16,17
"ORBIT_P",0.00141189281963038,0.0531,16,17
"Fisher",0.00149539074411259,0.0501,17,17
"Brown",0.00149539074411259,0.0493,17,17
"Stouffer",0.00149539074411259,0.0545,17,17
"DPM",0.00149539074411259,0,17,17
"ORBIT_P",0.00149539074411259,0.0519,17,17
"Fisher",0.00130435400267246,0.0515,18,17
"Brown",0.00130435400267246,0.0506,18,17
"Stouffer",0.00130435400267246,0.0541,18,17
"DPM",0.00130435400267246,1e-04,18,17
"ORBIT_P",0.00130435400267246,0.0524,18,17
"Fisher",0.00116417638629119,0.0537,19,17
"Brown",0.00116417638629119,0.0524,19,17
"Stouffer",0.00116417638629119,0.0551,19,17
"DPM",0.00116417638629119,0,19,17
"ORBIT_P",0.00116417638629119,0.0521,19,17
"Fisher",0.000969384959374317,0.0544,20,17
"Brown",0.000969384959374317,0.0535,20,17
"Stouffer",0.000969384959374317,0.0555,20,17
"DPM",0.000969384959374317,0,20,17
"ORBIT_P",0.000969384959374317,0.053,20,17
"Fisher",-0.0251162671104682,0.0508,2,18
"Brown",-0.0251162671104682,0.0492,2,18
"Stouffer",-0.0251162671104682,0.0469,2,18
"DPM",-0.0251162671104682,0.027,2,18
"ORBIT_P",-0.0251162671104682,0.047,2,18
"Fisher",-0.00832727589457774,0.0495,3,18
"Brown",-0.00832727589457774,0.0486,3,18
"Stouffer",-0.00832727589457774,0.0497,3,18
"DPM",-0.00832727589457774,0.0181,3,18
"ORBIT_P",-0.00832727589457774,0.0482,3,18
"Fisher",-0.00443507653722889,0.0493,4,18
"Brown",-0.00443507653722889,0.0491,4,18
"Stouffer",-0.00443507653722889,0.0491,4,18
"DPM",-0.00443507653722889,0.011,4,18
"ORBIT_P",-0.00443507653722889,0.0477,4,18
"Fisher",-0.00187608369895069,0.0459,5,18
"Brown",-0.00187608369895069,0.0459,5,18
"Stouffer",-0.00187608369895069,0.0493,5,18
"DPM",-0.00187608369895069,0.007,5,18
"ORBIT_P",-0.00187608369895069,0.0512,5,18
"Fisher",-0.00232681548943348,0.0487,6,18
"Brown",-0.00232681548943348,0.0487,6,18
"Stouffer",-0.00232681548943348,0.0487,6,18
"DPM",-0.00232681548943348,0.0049,6,18
"ORBIT_P",-0.00232681548943348,0.0479,6,18
"Fisher",-0.00123374987957196,0.0491,7,18
"Brown",-0.00123374987957196,0.0491,7,18
"Stouffer",-0.00123374987957196,0.0497,7,18
"DPM",-0.00123374987957196,0.0038,7,18
"ORBIT_P",-0.00123374987957196,0.0477,7,18
"Fisher",-0.000930044211232797,0.0513,8,18
"Brown",-0.000930044211232797,0.0513,8,18
"Stouffer",-0.000930044211232797,0.0487,8,18
"DPM",-0.000930044211232797,0.0026,8,18
"ORBIT_P",-0.000930044211232797,0.0483,8,18
"Fisher",-0.00112780311675065,0.0508,9,18
"Brown",-0.00112780311675065,0.0507,9,18
"Stouffer",-0.00112780311675065,0.0483,9,18
"DPM",-0.00112780311675065,9e-04,9,18
"ORBIT_P",-0.00112780311675065,0.0497,9,18
"Fisher",-0.0012158050368786,0.0512,10,18
"Brown",-0.0012158050368786,0.051,10,18
"Stouffer",-0.0012158050368786,0.0466,10,18
"DPM",-0.0012158050368786,8e-04,10,18
"ORBIT_P",-0.0012158050368786,0.0478,10,18
"Fisher",-0.00105469403115,0.051,11,18
"Brown",-0.00105469403115,0.051,11,18
"Stouffer",-0.00105469403115,0.0452,11,18
"DPM",-0.00105469403115,4e-04,11,18
"ORBIT_P",-0.00105469403115,0.0471,11,18
"Fisher",-0.00155882028619655,0.051,12,18
"Brown",-0.00155882028619655,0.051,12,18
"Stouffer",-0.00155882028619655,0.046,12,18
"DPM",-0.00155882028619655,0,12,18
"ORBIT_P",-0.00155882028619655,0.0487,12,18
"Fisher",-0.00148693105280413,0.0494,13,18
"Brown",-0.00148693105280413,0.0494,13,18
"Stouffer",-0.00148693105280413,0.0469,13,18
"DPM",-0.00148693105280413,0,13,18
"ORBIT_P",-0.00148693105280413,0.0481,13,18
"Fisher",-0.00183672721745683,0.0481,14,18
"Brown",-0.00183672721745683,0.0481,14,18
"Stouffer",-0.00183672721745683,0.0457,14,18
"DPM",-0.00183672721745683,0,14,18
"ORBIT_P",-0.00183672721745683,0.0466,14,18
"Fisher",-0.00139208436209651,0.0472,15,18
"Brown",-0.00139208436209651,0.0472,15,18
"Stouffer",-0.00139208436209651,0.046,15,18
"DPM",-0.00139208436209651,0,15,18
"ORBIT_P",-0.00139208436209651,0.0493,15,18
"Fisher",-0.00113467380365141,0.0474,16,18
"Brown",-0.00113467380365141,0.0474,16,18
"Stouffer",-0.00113467380365141,0.0496,16,18
"DPM",-0.00113467380365141,0,16,18
"ORBIT_P",-0.00113467380365141,0.0497,16,18
"Fisher",-0.000885470030591019,0.049,17,18
"Brown",-0.000885470030591019,0.049,17,18
"Stouffer",-0.000885470030591019,0.0497,17,18
"DPM",-0.000885470030591019,0,17,18
"ORBIT_P",-0.000885470030591019,0.0488,17,18
"Fisher",-0.00102994042447027,0.0502,18,18
"Brown",-0.00102994042447027,0.0502,18,18
"Stouffer",-0.00102994042447027,0.0507,18,18
"DPM",-0.00102994042447027,0,18,18
"ORBIT_P",-0.00102994042447027,0.0492,18,18
"Fisher",-0.00111781395974184,0.0504,19,18
"Brown",-0.00111781395974184,0.0504,19,18
"Stouffer",-0.00111781395974184,0.0494,19,18
"DPM",-0.00111781395974184,0,19,18
"ORBIT_P",-0.00111781395974184,0.0488,19,18
"Fisher",-0.00111504684407981,0.0495,20,18
"Brown",-0.00111504684407981,0.0495,20,18
"Stouffer",-0.00111504684407981,0.0482,20,18
"DPM",-0.00111504684407981,0,20,18
"ORBIT_P",-0.00111504684407981,0.0468,20,18
"Fisher",0.0270612779469248,0.0481,2,19
"Brown",0.0270612779469248,0.0479,2,19
"Stouffer",0.0270612779469248,0.0542,2,19
"DPM",0.0270612779469248,0.0299,2,19
"ORBIT_P",0.0270612779469248,0.0475,2,19
"Fisher",0.0124660630928621,0.0474,3,19
"Brown",0.0124660630928621,0.0467,3,19
"Stouffer",0.0124660630928621,0.0525,3,19
"DPM",0.0124660630928621,0.0182,3,19
"ORBIT_P",0.0124660630928621,0.0505,3,19
"Fisher",0.00566597598881609,0.0473,4,19
"Brown",0.00566597598881609,0.0465,4,19
"Stouffer",0.00566597598881609,0.0516,4,19
"DPM",0.00566597598881609,0.0113,4,19
"ORBIT_P",0.00566597598881609,0.0503,4,19
"Fisher",-9.35709563366908e-05,0.0493,5,19
"Brown",-9.35709563366908e-05,0.0489,5,19
"Stouffer",-9.35709563366908e-05,0.0492,5,19
"DPM",-9.35709563366908e-05,0.0069,5,19
"ORBIT_P",-9.35709563366908e-05,0.0496,5,19
"Fisher",0.00105984958724904,0.0497,6,19
"Brown",0.00105984958724904,0.0493,6,19
"Stouffer",0.00105984958724904,0.0521,6,19
"DPM",0.00105984958724904,0.0052,6,19
"ORBIT_P",0.00105984958724904,0.0519,6,19
"Fisher",0.0015598196528142,0.049,7,19
"Brown",0.0015598196528142,0.0478,7,19
"Stouffer",0.0015598196528142,0.0503,7,19
"DPM",0.0015598196528142,0.0034,7,19
"ORBIT_P",0.0015598196528142,0.0515,7,19
"Fisher",0.00230040891804831,0.0503,8,19
"Brown",0.00230040891804831,0.0482,8,19
"Stouffer",0.00230040891804831,0.0519,8,19
"DPM",0.00230040891804831,0.0019,8,19
"ORBIT_P",0.00230040891804831,0.0514,8,19
"Fisher",0.00295370178105203,0.051,9,19
"Brown",0.00295370178105203,0.0484,9,19
"Stouffer",0.00295370178105203,0.0542,9,19
"DPM",0.00295370178105203,0.0014,9,19
"ORBIT_P",0.00295370178105203,0.0523,9,19
"Fisher",0.00212070168175649,0.0535,10,19
"Brown",0.00212070168175649,0.0503,10,19
"Stouffer",0.00212070168175649,0.0529,10,19
"DPM",0.00212070168175649,0.0015,10,19
"ORBIT_P",0.00212070168175649,0.0496,10,19
"Fisher",0.00337333944914915,0.0514,11,19
"Brown",0.00337333944914915,0.0492,11,19
"Stouffer",0.00337333944914915,0.0535,11,19
"DPM",0.00337333944914915,0.001,11,19
"ORBIT_P",0.00337333944914915,0.0502,11,19
"Fisher",0.00392052711934541,0.0526,12,19
"Brown",0.00392052711934541,0.0497,12,19
"Stouffer",0.00392052711934541,0.0572,12,19
"DPM",0.00392052711934541,8e-04,12,19
"ORBIT_P",0.00392052711934541,0.0515,12,19
"Fisher",0.0037657579121943,0.0521,13,19
"Brown",0.0037657579121943,0.0499,13,19
"Stouffer",0.0037657579121943,0.0556,13,19
"DPM",0.0037657579121943,8e-04,13,19
"ORBIT_P",0.0037657579121943,0.051,13,19
"Fisher",0.00335977865411285,0.051,14,19
"Brown",0.00335977865411285,0.0494,14,19
"Stouffer",0.00335977865411285,0.0567,14,19
"DPM",0.00335977865411285,6e-04,14,19
"ORBIT_P",0.00335977865411285,0.0505,14,19
"Fisher",0.00247918391885174,0.0513,15,19
"Brown",0.00247918391885174,0.0497,15,19
"Stouffer",0.00247918391885174,0.0574,15,19
"DPM",0.00247918391885174,5e-04,15,19
"ORBIT_P",0.00247918391885174,0.0526,15,19
"Fisher",0.00174217718768306,0.0525,16,19
"Brown",0.00174217718768306,0.0507,16,19
"Stouffer",0.00174217718768306,0.0539,16,19
"DPM",0.00174217718768306,5e-04,16,19
"ORBIT_P",0.00174217718768306,0.0507,16,19
"Fisher",0.0011625220597999,0.0512,17,19
"Brown",0.0011625220597999,0.0489,17,19
"Stouffer",0.0011625220597999,0.0543,17,19
"DPM",0.0011625220597999,1e-04,17,19
"ORBIT_P",0.0011625220597999,0.052,17,19
"Fisher",0.00124497518234715,0.0517,18,19
"Brown",0.00124497518234715,0.0502,18,19
"Stouffer",0.00124497518234715,0.0522,18,19
"DPM",0.00124497518234715,1e-04,18,19
"ORBIT_P",0.00124497518234715,0.0511,18,19
"Fisher",0.00107807925876224,0.0508,19,19
"Brown",0.00107807925876224,0.0494,19,19
"Stouffer",0.00107807925876224,0.053,19,19
"DPM",0.00107807925876224,1e-04,19,19
"ORBIT_P",0.00107807925876224,0.0519,19,19
"Fisher",0.00121359933002141,0.051,20,19
"Brown",0.00121359933002141,0.0496,20,19
"Stouffer",0.00121359933002141,0.0534,20,19
"DPM",0.00121359933002141,1e-04,20,19
"ORBIT_P",0.00121359933002141,0.0532,20,19
"Fisher",-0.00400919959991019,0.0513,2,20
"Brown",-0.00400919959991019,0.0509,2,20
"Stouffer",-0.00400919959991019,0.0528,2,20
"DPM",-0.00400919959991019,0.0305,2,20
"ORBIT_P",-0.00400919959991019,0.0522,2,20
"Fisher",0.00516169001634169,0.0516,3,20
"Brown",0.00516169001634169,0.0516,3,20
"Stouffer",0.00516169001634169,0.053,3,20
"DPM",0.00516169001634169,0.0193,3,20
"ORBIT_P",0.00516169001634169,0.0496,3,20
"Fisher",0.00450432656468304,0.0528,4,20
"Brown",0.00450432656468304,0.0524,4,20
"Stouffer",0.00450432656468304,0.0522,4,20
"DPM",0.00450432656468304,0.0143,4,20
"ORBIT_P",0.00450432656468304,0.0499,4,20
"Fisher",0.000512365640820138,0.051,5,20
"Brown",0.000512365640820138,0.051,5,20
"Stouffer",0.000512365640820138,0.0533,5,20
"DPM",0.000512365640820138,0.0094,5,20
"ORBIT_P",0.000512365640820138,0.0508,5,20
"Fisher",-0.00101323927663184,0.0507,6,20
"Brown",-0.00101323927663184,0.0507,6,20
"Stouffer",-0.00101323927663184,0.0531,6,20
"DPM",-0.00101323927663184,0.0061,6,20
"ORBIT_P",-0.00101323927663184,0.0523,6,20
"Fisher",-0.00157730248289754,0.0516,7,20
"Brown",-0.00157730248289754,0.0516,7,20
"Stouffer",-0.00157730248289754,0.0517,7,20
"DPM",-0.00157730248289754,0.0035,7,20
"ORBIT_P",-0.00157730248289754,0.0499,7,20
"Fisher",-0.00198340408761773,0.0512,8,20
"Brown",-0.00198340408761773,0.0512,8,20
"Stouffer",-0.00198340408761773,0.0479,8,20
"DPM",-0.00198340408761773,0.0019,8,20
"ORBIT_P",-0.00198340408761773,0.0491,8,20
"Fisher",-0.00121406924293876,0.0488,9,20
"Brown",-0.00121406924293876,0.0488,9,20
"Stouffer",-0.00121406924293876,0.0485,9,20
"DPM",-0.00121406924293876,6e-04,9,20
"ORBIT_P",-0.00121406924293876,0.0488,9,20
"Fisher",-0.00104474380874469,0.0497,10,20
"Brown",-0.00104474380874469,0.0497,10,20
"Stouffer",-0.00104474380874469,0.0499,10,20
"DPM",-0.00104474380874469,6e-04,10,20
"ORBIT_P",-0.00104474380874469,0.0504,10,20
"Fisher",-0.00166512655495136,0.0495,11,20
"Brown",-0.00166512655495136,0.0495,11,20
"Stouffer",-0.00166512655495136,0.0498,11,20
"DPM",-0.00166512655495136,4e-04,11,20
"ORBIT_P",-0.00166512655495136,0.0499,11,20
"Fisher",-0.00110131583693082,0.0492,12,20
"Brown",-0.00110131583693082,0.0492,12,20
"Stouffer",-0.00110131583693082,0.0486,12,20
"DPM",-0.00110131583693082,5e-04,12,20
"ORBIT_P",-0.00110131583693082,0.0473,12,20
"Fisher",-0.000457707394279683,0.0492,13,20
"Brown",-0.000457707394279683,0.049,13,20
"Stouffer",-0.000457707394279683,0.0483,13,20
"DPM",-0.000457707394279683,6e-04,13,20
"ORBIT_P",-0.000457707394279683,0.0467,13,20
"Fisher",0.000307503857170111,0.0508,14,20
"Brown",0.000307503857170111,0.0508,14,20
"Stouffer",0.000307503857170111,0.0465,14,20
"DPM",0.000307503857170111,4e-04,14,20
"ORBIT_P",0.000307503857170111,0.0478,14,20
"Fisher",0.000507086889720264,0.0524,15,20
"Brown",0.000507086889720264,0.0521,15,20
"Stouffer",0.000507086889720264,0.0472,15,20
"DPM",0.000507086889720264,3e-04,15,20
"ORBIT_P",0.000507086889720264,0.0471,15,20
"Fisher",0.0012134233343513,0.0512,16,20
"Brown",0.0012134233343513,0.0506,16,20
"Stouffer",0.0012134233343513,0.051,16,20
"DPM",0.0012134233343513,2e-04,16,20
"ORBIT_P",0.0012134233343513,0.0481,16,20
"Fisher",0.00116220185310264,0.0501,17,20
"Brown",0.00116220185310264,0.0495,17,20
"Stouffer",0.00116220185310264,0.053,17,20
"DPM",0.00116220185310264,2e-04,17,20
"ORBIT_P",0.00116220185310264,0.0494,17,20
"Fisher",0.00100344891581058,0.0494,18,20
"Brown",0.00100344891581058,0.0489,18,20
"Stouffer",0.00100344891581058,0.0537,18,20
"DPM",0.00100344891581058,2e-04,18,20
"ORBIT_P",0.00100344891581058,0.0501,18,20
"Fisher",0.000912752406178692,0.0491,19,20
"Brown",0.000912752406178692,0.049,19,20
"Stouffer",0.000912752406178692,0.0543,19,20
"DPM",0.000912752406178692,3e-04,19,20
"ORBIT_P",0.000912752406178692,0.0498,19,20
"Fisher",0.000371501722840376,0.0515,20,20
"Brown",0.000371501722840376,0.0509,20,20
"Stouffer",0.000371501722840376,0.0543,20,20
"DPM",0.000371501722840376,3e-04,20,20
"ORBIT_P",0.000371501722840376,0.0514,20,20
