"method","K","signal_prop","rho_est","power","fdp","rep"
"DPM",3,0.1,NA,0.845691382765531,0.0163170163170163,2
"ORBIT_P",3,0.1,0.0026320655880624,0.887775551102204,0.0473118279569892,2
"DPM",4,0.1,NA,0.875751503006012,0.0090702947845805,2
"ORBIT_P",4,0.1,-0.000338219386330314,0.918837675350701,0.0447916666666667,2
"DPM",5,0.1,NA,0.909819639278557,0.00656455142231947,2
"ORBIT_P",5,0.1,-0.00318183277650669,0.955911823647295,0.0431293881644935,2
"DPM",6,0.1,NA,0.915831663326653,0.00327153762268266,2
"ORBIT_P",6,0.1,-0.00169933133451579,0.964929859719439,0.0502958579881657,2
"DPM",7,0.1,NA,0.918837675350701,0.00434310532030402,2
"ORBIT_P",7,0.1,-0.000976371908873842,0.968937875751503,0.0565853658536585,2
"DPM",8,0.1,NA,0.919839679358717,0.00217391304347826,2
"ORBIT_P",8,0.1,-0.00265833236132923,0.964929859719439,0.0549558390578999,2
"DPM",9,0.1,NA,0.944889779559118,0.00317124735729387,2
"ORBIT_P",9,0.1,-0.0020029442611429,0.976953907815631,0.0412979351032448,2
"DPM",10,0.1,NA,0.954909819639279,0.0010482180293501,2
"ORBIT_P",10,0.1,-0.000666407757436151,0.975951903807615,0.0413385826771654,2
"DPM",11,0.1,NA,0.945891783567134,0,2
"ORBIT_P",11,0.1,-0.000220797700225668,0.98496993987976,0.0447035957240039,2
"DPM",12,0.1,NA,0.95190380761523,0,2
"ORBIT_P",12,0.1,0.000261557394704901,0.983967935871743,0.0353634577603143,2
"DPM",13,0.1,NA,0.950901803607214,0,2
"ORBIT_P",13,0.1,5.50659788955387e-05,0.981963927855711,0.0316205533596838,2
"DPM",14,0.1,NA,0.959919839679359,0,2
"ORBIT_P",14,0.1,-1.03729971841585e-05,0.985971943887776,0.0362389813907933,2
"DPM",15,0.1,NA,0.956913827655311,0,2
"ORBIT_P",15,0.1,0.000160729142889197,0.990981963927856,0.0379377431906615,2
"DPM",16,0.1,NA,0.954909819639279,0,2
"ORBIT_P",16,0.1,-1.35198931035868e-05,0.981963927855711,0.0392156862745098,2
"DPM",17,0.1,NA,0.956913827655311,0,2
"ORBIT_P",17,0.1,0.000341279310704575,0.982965931863727,0.0410557184750733,2
"DPM",18,0.1,NA,0.961923847695391,0,2
"ORBIT_P",18,0.1,4.49776274103919e-05,0.988977955911824,0.0351906158357771,2
"DPM",19,0.1,NA,0.965931863727455,0,2
"ORBIT_P",19,0.1,0.000343070532068826,0.983967935871743,0.0344149459193707,2
"DPM",20,0.1,NA,0.967935871743487,0,2
"ORBIT_P",20,0.1,0.000290341720584187,0.987975951903808,0.0333333333333333,2
"DPM",2,0.2,NA,0.813148788927336,0.0196662693682956,2
"ORBIT_P",2,0.2,-0.0084871775477213,0.859614434008898,0.0360310421286031,2
"DPM",3,0.2,NA,0.881364310430054,0.0181718061674009,2
"ORBIT_P",3,0.2,0.00373390549069335,0.92436974789916,0.041025641025641,2
"DPM",4,0.2,NA,0.901136925358379,0.0124593716143012,2
"ORBIT_P",4,0.2,0.000895118930754752,0.939199209095403,0.0461847389558233,2
"DPM",5,0.2,NA,0.919920909540287,0.00587606837606838,2
"ORBIT_P",5,0.2,0.00194859350659012,0.956005931784478,0.0454096742349457,2
"DPM",6,0.2,NA,0.937716262975779,0.00472193074501574,2
"ORBIT_P",6,0.2,-0.00011162720498521,0.972812654473554,0.0385930630190523,2
"DPM",7,0.2,NA,0.937716262975779,0.00262881177707676,2
"ORBIT_P",7,0.2,0.0010973955341262,0.97380128521997,0.038555392874573,2
"DPM",8,0.2,NA,0.937716262975779,0.00262881177707676,2
"ORBIT_P",8,0.2,0.00147990025455108,0.968858131487889,0.04296875,2
"DPM",9,0.2,NA,0.947108255066733,0.000521648408972353,2
"ORBIT_P",9,0.2,0.00165181569187362,0.975778546712803,0.043141056713524,2
"DPM",10,0.2,NA,0.95551161641127,0,2
"ORBIT_P",10,0.2,0.00195445287929875,0.984676223430549,0.0386100386100386,2
"DPM",11,0.2,NA,0.959466139396935,0,2
"ORBIT_P",11,0.2,0.00230972993350992,0.982698961937716,0.0391493475108748,2
"DPM",12,0.2,NA,0.96094908551656,0,2
"ORBIT_P",12,0.2,0.00245275330565533,0.987642115669797,0.0347826086956522,2
"DPM",13,0.2,NA,0.959466139396935,0.000514933058702369,2
"ORBIT_P",13,0.2,0.00241963320019033,0.985664854176965,0.0376447876447876,2
"DPM",14,0.2,NA,0.962926347009392,0,2
"ORBIT_P",14,0.2,0.00207675415112717,0.985170538803757,0.0362669245647969,2
"DPM",15,0.2,NA,0.960454770143351,0,2
"ORBIT_P",15,0.2,0.00137320761602815,0.990113692535838,0.0416267942583732,2
"DPM",16,0.2,NA,0.965397923875433,0,2
"ORBIT_P",16,0.2,0.00090892901615959,0.98961937716263,0.0407283181600383,2
"DPM",17,0.2,NA,0.962432031636184,0,2
"ORBIT_P",17,0.2,0.00168209830527924,0.990608007909046,0.0351468464130958,2
"DPM",18,0.2,NA,0.964903608502224,0,2
"ORBIT_P",18,0.2,0.00136613980420283,0.990113692535838,0.0388675623800384,2
"DPM",19,0.2,NA,0.96094908551656,0,2
"ORBIT_P",19,0.2,0.00110010254439672,0.991102323282254,0.044327931363203,2
"DPM",20,0.2,NA,0.968363816114681,0,2
"ORBIT_P",20,0.2,0.000661871956795891,0.992585269401878,0.0433539780848023,2
"DPM",2,0.5,NA,0.872323394036422,0.0153602891348543,2
"ORBIT_P",2,0.5,0.0170522944303353,0.901540924554733,0.0255245511572572,2
"DPM",3,0.5,NA,0.907744646788073,0.011333914559721,2
"ORBIT_P",3,0.5,0.000672139414917479,0.941164698819292,0.027703121769692,2
"DPM",4,0.5,NA,0.929557734640785,0.00641711229946524,2
"ORBIT_P",4,0.5,0.000773836154152763,0.96217730638383,0.0251419302514193,2
"DPM",5,0.5,NA,0.9379627776666,0.00276595744680851,2
"ORBIT_P",5,0.5,0.00134511123631342,0.971582949769862,0.0251004016064257,2
"DPM",6,0.5,NA,0.947568541124675,0.00147617039223956,2
"ORBIT_P",6,0.5,0.00324100656671818,0.97518511106664,0.0267625324545636,2
"DPM",7,0.5,NA,0.953772263358015,0.00104799832320268,2
"ORBIT_P",7,0.5,0.00207962842112627,0.979587752651591,0.0250946026687911,2
"DPM",8,0.5,NA,0.957374424654793,0.000626697305201588,2
"ORBIT_P",8,0.5,0.00271301435629508,0.985791474884931,0.0253264740799367,2
"DPM",9,0.5,NA,0.959175505303182,0.000417101147028154,2
"ORBIT_P",9,0.5,0.00281812869599152,0.98198919351611,0.0240652346857597,2
"DPM",10,0.5,NA,0.960576345807485,0.00041649312786339,2
"ORBIT_P",10,0.5,0.00305945932189136,0.984190514308585,0.0240127009327247,2
"DPM",11,0.5,NA,0.961376826095657,0.000416146483562214,2
"ORBIT_P",11,0.5,0.00318825307407491,0.983790274164499,0.0244096050803731,2
"DPM",12,0.5,NA,0.965579347608565,0,2
"ORBIT_P",12,0.5,0.00194472019891869,0.988393035821493,0.0258382642998028,2
"DPM",13,0.5,NA,0.964178507104263,0,2
"ORBIT_P",13,0.5,0.00193190450514362,0.98819291574945,0.0262275685269178,2
"DPM",14,0.5,NA,0.970382229337603,0,2
"ORBIT_P",14,0.5,0.00217300210671152,0.990394236541925,0.0244431302976542,2
"DPM",15,0.5,NA,0.968581148689214,0,2
"ORBIT_P",15,0.5,0.00149558031816451,0.988793275965579,0.0246742992499013,2
"DPM",16,0.5,NA,0.966780068040825,0,2
"ORBIT_P",16,0.5,0.00161385468056647,0.990994596758055,0.0240441466298778,2
"DPM",17,0.5,NA,0.973384030418251,0,2
"ORBIT_P",17,0.5,0.000641291570221326,0.992395437262357,0.02401102145247,2
"DPM",18,0.5,NA,0.967980788473084,0,2
"ORBIT_P",18,0.5,9.33879757868031e-05,0.993996397838703,0.024931291715744,2
"DPM",19,0.5,NA,0.970582349409646,0,2
"ORBIT_P",19,0.5,0.000424253434313934,0.99379627776666,0.0258925068654374,2
"DPM",20,0.5,NA,0.973984390634381,0,2
"ORBIT_P",20,0.5,0.000549277576607743,0.99379627776666,0.026465398941384,2
"DPM",2,0.05,NA,0.725838264299803,0.029023746701847,3
"ORBIT_P",2,0.05,-0.00249814984351864,0.757396449704142,0.0423940149625935,3
"DPM",3,0.05,NA,0.790927021696253,0.0147420147420147,3
"ORBIT_P",3,0.05,-0.0105027723962018,0.85207100591716,0.04,3
"DPM",4,0.05,NA,0.869822485207101,0.015625,3
"ORBIT_P",4,0.05,-0.00362753133147836,0.909270216962525,0.0375782881002088,3
"DPM",5,0.05,NA,0.869822485207101,0.00675675675675676,3
"ORBIT_P",5,0.05,-0.00422479638105911,0.915187376725838,0.0353430353430353,3
"DPM",6,0.05,NA,0.923076923076923,0.00425531914893617,3
